ticker,archetype,sector,asof,status,latest_period,n_periods,overall,blk_Earnings_Quality,blk_Revenue_Quality,blk_Cash_Conversion,blk_Working_Capital_Stress,blk_Capital_Integrity,blk_Capex_Discipline,blk_Balance_Sheet_Stress,blk_Narrative_Drift,c_total_accruals,c_accrual_trend,c_beneish_m_score,c_beneish_tata,c_receivables_growth_spread,c_beneish_dsri,c_deferred_revenue_growth_spread,c_dso_trend,c_cfo_to_net_income,c_fcf_to_net_income,c_fcf_margin,c_fcf_margin_trend,c_inventory_growth_spread,c_dio_trend,c_working_capital_swing_to_income,c_sbc_to_revenue,c_sbc_to_cfo,c_diluted_share_growth,c_net_share_count_change,c_buyback_offset_ratio,c_issuance_pressure,c_capex_growth_spread,c_capex_to_da,c_capex_intensity_regime_shift,c_incremental_revenue_per_capex,c_net_debt_to_ebitda,c_interest_coverage,c_current_ratio,c_debt_to_assets,c_leverage_change,c_asset_quality_proxy,c_intangibles_to_assets,c_adjustment_recurrence_ratio,c_recurring_adjustment_terms,c_kpi_removals,c_disclosure_volume_change,rel_3m,rel_6m,rel_12m,op_margin_chg_4q,fcf_margin_chg_4q,ni_growth_fwd_4q,non_reliance_24m
CRWD,hypergrowth_saas,Software,2023-06-14,ok,2023-04-30,8,29.8,19.7,25.7,12.3,,58.5,35.7,38.9,,10.0,36.1,,12.0,20.0,20.0,43.6,25.0,10.0,10.0,10.0,21.5,,,,72.2,41.2,,,,,28.1,,36.7,44.0,,90.0,25.8,19.4,28.4,20.0,15.0,,,,,0.07495003382417131,0.5530248925045123,1.2439478399119908,0.03562271183463678,0.010759884431173428,1.7703948200251545,0
CRWD,hypergrowth_saas,Software,2023-09-13,ok,2023-07-31,8,33.8,25.9,37.9,20.9,,56.3,30.4,38.3,,11.7,49.8,,14.3,47.3,37.9,34.6,25.0,10.0,10.0,10.0,64.5,,,,78.8,59.6,24.8,,,,25.0,,25.0,42.3,,90.0,25.2,18.4,25.0,20.0,15.0,,,,,0.43227619088375,0.7883982172810207,0.261858820087131,0.03518203308876336,0.012802123652292219,2.66795295847115,0
CRWD,hypergrowth_saas,Software,2023-12-14,ok,2023-10-31,8,29.7,25.5,25.6,14.3,,53.3,28.2,39.1,,12.0,48.4,,14.5,20.0,20.0,43.1,25.0,10.0,10.0,10.0,31.3,,,,75.5,53.6,25.1,,,,25.0,,25.0,35.2,,90.0,26.5,17.7,26.5,20.1,18.5,,,,,0.17627919635971145,0.377755168659774,0.23340209396342004,-0.05918566693735539,-0.008278354348662642,11.173689525383274,0
CRWD,hypergrowth_saas,Software,2024-03-15,ok,2024-01-31,8,38.7,22.3,67.8,12.0,,63.4,51.4,28.3,,10.9,41.1,,13.9,85.4,70.6,21.0,80.3,10.0,10.0,10.0,20.0,,,,76.3,47.3,,,,,87.8,,25.0,34.2,,51.1,26.0,16.2,22.2,20.0,16.7,,,,,0.15645414387124235,-0.259097699042113,0.0650134286388433,-0.0915932597133235,-0.0359135034598243,-1.1711079943899019,0
CRWD,hypergrowth_saas,Software,2024-06-14,ok,2024-04-30,8,28.9,19.2,26.4,12.0,,61.4,26.0,38.6,,10.0,34.6,,12.1,20.0,20.0,47.1,25.0,10.0,10.0,10.0,20.0,,,,74.7,44.8,,,,,25.0,,25.0,28.0,,89.0,25.4,15.9,28.4,20.1,17.9,,,,,-0.3454779827964959,-0.16537620837979883,0.14402064302720485,-0.11511569839930218,-0.06324956146823996,-2.3790512058599957,0
CRWD,hypergrowth_saas,Software,2024-09-13,ok,2024-07-31,8,27.9,24.0,25.0,20.5,,53.7,25.7,20.9,,13.1,42.2,,15.6,20.0,20.0,39.9,25.0,10.0,10.0,10.0,62.3,,,,76.3,55.9,23.3,,,,25.0,,25.0,27.1,,,24.0,15.3,27.3,20.0,17.0,,,,,0.33188984637519225,0.3967498409698793,0.5317086056872964,-0.1108197509447133,-0.0778374633322772,-2.84265337731435,0
CRWD,hypergrowth_saas,Software,2024-12-14,ok,2024-10-31,8,39.0,19.1,49.8,47.5,,53.1,49.3,20.7,,11.3,31.6,,13.9,58.9,47.5,42.0,44.6,,,10.0,85.0,,,,76.0,57.5,20.0,,,,78.4,,25.0,38.8,,,24.6,15.0,26.2,20.0,15.9,,,,,0.015544692367348567,0.23839516701413122,0.10103041921552602,-0.0011020257303465397,-0.056443677918855184,-3.720696251646785,0
CRWD,hypergrowth_saas,Software,2025-03-16,ok,2025-01-31,8,41.4,15.4,63.7,43.7,,76.1,33.9,21.3,,10.0,24.0,,12.0,77.1,62.3,20.0,85.5,,,10.0,77.4,,,,83.6,66.8,,,,,30.0,,28.4,44.0,,,26.0,15.0,25.0,20.7,17.5,,,,,0.24816628305645505,0.04902692035149703,0.014626563089426003,0.0873375984659418,-0.015749574710642922,-11.352538596212,0
CRWD,hypergrowth_saas,Software,2025-06-14,ok,2025-04-30,8,32.9,14.9,25.2,35.7,,70.3,37.6,21.8,,10.0,22.4,,12.0,20.0,20.0,41.2,25.0,,,10.0,61.4,,,,79.5,58.8,,,,,25.0,,38.4,51.9,,,24.8,15.0,29.9,20.9,17.4,,,,,-0.17012476658620168,-0.11913004594331089,0.18110810513518794,0.0855012147244938,0.028596637371511413,0.8547823363607893,0
NET,hypergrowth_saas,Software,2021-06-14,ok,2021-03-31,8,37.0,13.1,30.1,38.7,,62.7,51.2,41.2,,11.3,15.0,,13.6,26.4,23.9,20.0,54.6,,,57.3,20.0,,,,57.7,65.5,,,69.8,,80.2,37.3,29.6,49.2,,90.0,15.0,,,20.0,15.0,,,,,0.25027818795011547,0.35471588988483216,-0.45855787045132246,0.037744182448852,-0.013240049197132453,-1.0675661797814942,0
NET,hypergrowth_saas,Software,2021-09-13,ok,2021-06-30,8,37.5,20.5,25.0,44.0,,72.9,28.6,41.2,,16.0,27.0,,18.5,20.0,20.0,20.3,44.8,,,68.0,20.0,,,,58.7,92.0,,,70.0,,25.0,20.0,25.0,43.4,,90.0,15.0,,,20.0,15.0,,,,,0.06906670223183142,-0.26514611136336075,-0.41280885575259896,-0.08579417544046636,-0.030069699359303925,-1.1311395831188127,0
NET,hypergrowth_saas,Software,2021-12-14,ok,2021-09-30,8,44.2,12.7,25.2,82.5,,61.7,49.9,41.2,,10.0,15.0,,14.1,20.0,20.0,31.0,34.9,,,80.0,85.0,,,,58.4,,,,70.0,,79.1,42.2,25.0,46.0,,90.0,15.0,,,20.0,15.0,,,,,-0.22252687981804709,-0.49379674993793043,-0.47864461948805137,-0.0272708469156743,0.04505819685889916,-0.03752265610227414,0
NET,hypergrowth_saas,Software,2022-03-16,ok,2021-12-31,8,32.1,12.8,22.9,30.6,,63.1,34.7,41.2,,10.0,16.6,,12.1,21.2,20.7,20.0,31.6,,,41.2,20.0,,,,61.8,61.4,,,70.0,,25.0,38.9,29.9,47.9,,90.0,15.0,,,20.0,15.0,,,,,-0.4154323975722529,-0.2617135792734283,-0.34021386921253194,0.027579603528198243,0.009728835009615529,0.2571098194837674,0
NET,hypergrowth_saas,Software,2022-06-14,ok,2022-03-31,8,53.0,38.4,53.1,82.5,,66.4,31.0,41.2,,24.2,62.0,,27.2,64.3,49.7,29.9,60.8,,,80.0,85.0,,,,65.0,,,,70.0,,25.0,28.9,25.0,45.9,,90.0,15.0,,,20.0,15.0,,,,,0.44575473583554115,0.18420813474535525,0.5183446449269404,0.02573526166163076,0.1694844848491737,0.2737394307809282,0
