ticker,archetype,sector,asof,status,latest_period,n_periods,overall,blk_Earnings_Quality,blk_Revenue_Quality,blk_Cash_Conversion,blk_Working_Capital_Stress,blk_Capital_Integrity,blk_Capex_Discipline,blk_Balance_Sheet_Stress,blk_Narrative_Drift,c_total_accruals,c_accrual_trend,c_beneish_m_score,c_receivables_growth_spread,c_dso_trend,c_cfo_to_net_income,c_fcf_margin,c_fcf_margin_trend,c_inventory_growth_spread,c_dio_trend,c_diluted_share_growth,c_issuance_pressure,c_capex_growth_spread,c_capex_to_da,c_capex_intensity_regime_shift,c_net_debt_to_ebitda,c_interest_coverage,c_current_ratio,c_debt_to_assets,c_leverage_change,c_kpi_removals,c_disclosure_volume_change,c_risk_factor_expansion,rel_3m,rel_6m,rel_12m,op_margin_chg_4q,fcf_margin_chg_4q,ni_growth_fwd_4q,non_reliance_24m
NET,hypergrowth_saas,Software,2021-09-13,ok,2021-06-30,8,35.5,15.5,42.4,47.1,,,23.7,57.9,,10.0,22.0,,37.4,51.1,,74.1,20.0,,,,,25.0,20.0,25.0,,90.0,15.0,,,,,,0.06906670223183142,-0.26514589201621097,-0.41280892886831555,-0.08579417544046636,-0.030069699359303925,-1.1311395831188127,0
NET,hypergrowth_saas,Software,2021-12-14,ok,2021-09-30,8,39.5,14.4,43.7,50.0,,,40.9,57.9,,10.0,19.7,,38.9,52.1,,80.0,20.0,,,,,53.3,42.2,25.0,,90.0,15.0,,,,,,-0.22252674727872068,-0.49379649372045054,-0.47864421559032255,-0.0272708469156743,0.04505819685889916,-0.03752265610227414,0
NET,hypergrowth_saas,Software,2022-03-16,ok,2021-12-31,8,37.3,12.3,21.8,44.3,,,53.6,57.9,,10.0,15.0,,20.0,25.0,,68.6,20.0,,,,,83.2,38.9,29.9,,90.0,15.0,,,,,,-0.41543224866360073,-0.2617134303647761,-0.340213943666858,0.027579603528198243,0.009728835009615529,0.2571098194837674,0
NET,hypergrowth_saas,Software,2022-06-14,ok,2022-03-31,8,42.7,17.5,44.4,73.6,,,26.0,57.9,,10.0,26.6,,38.6,54.5,,80.0,67.1,,,,,25.0,28.9,25.0,,90.0,15.0,,,,,,0.4457548223184149,0.18420822122822922,0.5183447314098142,0.02573526166163076,0.1694844848491737,0.2737394307809282,0
NET,hypergrowth_saas,Software,2022-09-13,ok,2022-06-30,8,42.4,12.4,29.4,64.5,,24.3,60.0,57.9,,10.0,15.3,,25.9,35.5,,80.0,48.9,,,24.3,,83.4,43.9,44.9,,90.0,15.0,,,,,,-0.16825691770093998,-0.07577494622941161,-0.06863157828405742,0.09312361523190008,0.17779320319890335,0.2372426265038619,0
NET,hypergrowth_saas,Software,2022-12-14,ok,2022-09-30,8,37.8,33.0,24.5,45.1,,23.2,32.6,57.9,,10.0,60.6,,22.1,28.8,,70.2,20.0,,,23.2,,25.0,35.8,39.1,,90.0,15.0,,,,,,0.05757268311594288,0.1789287329003979,0.42714793233812376,0.06415516639659696,0.15480444950678704,0.10207810103793924,0
NET,hypergrowth_saas,Software,2023-03-16,ok,2022-12-31,8,37.6,27.4,36.8,42.1,,,27.7,57.9,,10.0,48.3,,31.3,46.5,,64.1,20.0,,,,,25.0,30.6,28.5,,90.0,15.0,,,,,,0.1434510909794453,-0.0015341141288547355,0.38580019396384135,0.06637445073033776,0.13921498953609832,0.048774181538000116,0
NET,hypergrowth_saas,Software,2023-06-14,ok,2023-03-31,8,30.4,14.9,30.1,31.7,,,24.3,57.9,,10.0,20.8,,25.5,38.0,,43.3,20.0,,,,,25.0,20.0,27.0,,90.0,15.0,,,,,,-0.0817455356613549,0.08310272834999632,-0.16195230149562567,0.018825885379543494,0.06347584105623383,0.04562241558906156,0
NET,hypergrowth_saas,Software,2023-09-13,ok,2023-06-30,8,30.2,12.3,38.5,29.1,,24.3,26.6,57.9,,10.0,15.0,,31.8,50.2,,38.2,20.0,,,24.3,,25.0,30.9,25.0,,90.0,15.0,,,,,,0.16993962266219986,0.29948850832920715,-0.05707259833736589,0.09555503718856866,0.05123465216083729,0.5383915805476626,0
NET,hypergrowth_saas,Software,2023-12-14,ok,2023-09-30,8,29.5,12.3,47.5,25.1,,18.9,23.7,57.9,,10.0,15.0,,40.9,59.0,,30.1,20.0,,,25.3,15.0,25.0,20.0,25.0,,90.0,15.0,,,,,,0.023543513700085228,-0.2498482484808312,0.05131178154473992,0.04524013401060363,0.022909058776369493,0.5355617051400736,0
