ticker,name,sic,status,coverage,overall,direction,n_red_flags,top_block,top_block_score,red_flag_metrics
TTE,,,error: Could not establish at least 2 quarter-end dates for TTE; the filer may use cust,,,,,,,
DIS,WALT DISNEY CO/,7990,ok,0.917,27.0,positive,4,Balance Sheet Stress,56.5,net_debt_to_ebitda;current_ratio;incremental_revenue_per_capex;asset_quality_proxy
UNP,UNION PACIFIC CORP,4011,ok,0.722,31.1,positive,3,Balance Sheet Stress,48.9,net_debt_to_ebitda;incremental_revenue_per_capex;buyback_offset_ratio
UBS,,,error: Could not establish at least 2 quarter-end dates for UBS; the filer may use cust,,,,,,,
WELL,WELLTOWER INC.,6798,excluded_financial,0.593,,,,,,
ABT,ABBOTT LABORATORIES,2834,ok,0.917,36.6,mixed,4,Balance Sheet Stress,58.6,net_debt_to_ebitda;fcf_margin_trend;leverage_change;asset_quality_proxy
BLK,"BlackRock, Inc.",6211,excluded_financial,0.569,,,,,,
ETN,EATON CORPORATION plc,3590,ok,0.833,45.3,negative,6,Cash Conversion,69.6,fcf_margin_trend;leverage_change;intangibles_to_assets;cfo_to_net_income;asset_quality_proxy;fcf_to_net_income
IBKR,"INTERACTIVE BROKERS GROUP, INC.",6211,excluded_financial,0.343,,,,,,
SHOP,Shopify Inc.,7372,ok,0.639,23.5,positive,0,Cash Conversion,35.9,
SMERY,,,error: SEC request failed for https://data.sec.gov/api/xbrl/companyfacts/CIK0001830056.,,,,,,,
GILD,"GILEAD SCIENCES, INC.",2836,ok,0.954,33.5,mixed,2,Working Capital Stress,63.4,net_debt_to_ebitda;dio_trend
BUD,,,error: Could not establish at least 2 quarter-end dates for BUD; the filer may use cust,,,,,,,
SMFG,,,error: Could not establish at least 2 quarter-end dates for SMFG; the filer may use cus,,,,,,,
RIO,,,error: Could not establish at least 2 quarter-end dates for RIO; the filer may use cust,,,,,,,
UBER,"UBER TECHNOLOGIES, INC.",7389,ok,0.838,23.6,positive,1,Balance Sheet Stress,38.7,asset_quality_proxy
BX,Blackstone Inc.,6282,excluded_financial,0.509,,,,,,
ISRG,"Intuitive Surgical, Inc.",3842,ok,0.843,27.0,positive,0,Working Capital Stress,41.5,
T,AT&T INC.,4813,ok,0.838,37.2,mixed,2,Balance Sheet Stress,60.2,net_debt_to_ebitda;incremental_revenue_per_capex
BKNG,Booking Holdings Inc.,4700,ok,0.769,30.3,positive,2,Balance Sheet Stress,41.8,net_share_count_change;debt_to_assets
